"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
2;",,,,,,,,,,";"buzzardLabel";11;"";;;
3;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
4;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
5;"U2";"SOT-23-5";1;"SE5218";;;
6;"Q2,Q1";"SOT-23-3";2;"NPN-SOT-23-3";;;
7;"R1,R2";"0603R";2;"5.1k";;;
8;"D2";"0402LED";1;"blue";;;
9;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
10;"R4,R3";"0402R";2;"10k";;;
11;"G***";"Symbol-Front-USB";1;"LOGO";;;
12;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
13;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
14;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
15;"C3,C4";"0603C";2;"2.2uF";;;
16;"C1,C2";"0603C";2;"0.1uF";;;
17;"D1";"0402LED";1;"white";;;
18;"D3";"0402LED";1;"purple";;;
19;"R7,R6";"0603R";2;"10k";;;
20;"R5";"0402R";1;"2k2";;;
21;"U1";"SOP-16";1;"CH340C";;;
22;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
23;"";"Version1.0.0.";1;"";;;
24;"K2";"HEADER_MALE_6X1";1;"NOVA_programmer_header";;;
